Longitude,Latitude,Date,Deformation_Value
137.1760254,-4.084016323,11-Jan-20,0.4748745
137.1760254,-4.084016323,23-Jan-20,-6.991001
137.1760254,-4.084016323,4-Feb-20,-3.457201
137.1760254,-4.084016323,16-Feb-20,-1.777007
137.1760254,-4.084016323,28-Feb-20,-0.6476656
137.1760254,-4.084016323,11-Mar-20,1.456044
137.1760254,-4.084016323,23-Mar-20,-1.734146
137.1760254,-4.084016323,4-Apr-20,0.4120479
137.1760254,-4.084016323,16-Apr-20,3.230657
137.1760254,-4.084016323,28-Apr-20,0.2755882
137.1760254,-4.084016323,10-May-20,6.993595
137.1760254,-4.084016323,22-May-20,-2.275213
137.1760254,-4.084016323,3-Jun-20,1.013676
137.1760254,-4.084016323,15-Jun-20,0.2570076
137.1760254,-4.084016323,27-Jun-20,-14.05153
137.1760254,-4.084016323,9-Jul-20,1.059404
137.1760254,-4.084016323,21-Jul-20,-3.032747
137.1760254,-4.084016323,2-Aug-20,-3.51376
137.1760254,-4.084016323,14-Aug-20,-4.876732
137.1760254,-4.084016323,26-Aug-20,-0.6516925
137.1760254,-4.084016323,7-Sep-20,7.359328
137.1760254,-4.084016323,19-Sep-20,1.55793
137.1760254,-4.084016323,1-Oct-20,-3.822915
137.1760254,-4.084016323,13-Oct-20,4.671904
137.1760254,-4.084016323,25-Oct-20,-2.760682
137.1760254,-4.084016323,6-Nov-20,-4.478021
137.1760254,-4.084016323,18-Nov-20,1.423567
137.1760254,-4.084016323,30-Nov-20,-0.3713786
137.1760254,-4.084016323,12-Dec-20,3.661235
137.1760254,-4.084016323,24-Dec-20,2.447836
137.1760254,-4.084016323,5-Jan-21,-1.599019
137.1760254,-4.084016323,17-Jan-21,5.960938
137.1760254,-4.084016323,29-Jan-21,-1.26398
137.1760254,-4.084016323,10-Feb-21,-3.295979
137.1760254,-4.084016323,22-Feb-21,0.744234
137.1760254,-4.084016323,6-Mar-21,-16.15983
137.1760254,-4.084016323,18-Mar-21,2.042307
137.1760254,-4.084016323,30-Mar-21,-2.596041
137.1760254,-4.084016323,11-Apr-21,-4.514373
137.1760254,-4.084016323,23-Apr-21,-2.703126
137.1760254,-4.084016323,17-May-21,-1.395457
137.1760254,-4.084016323,29-May-21,5.649537
137.1760254,-4.084016323,10-Jun-21,3.345664
137.1760254,-4.084016323,22-Jun-21,0
137.1760254,-4.084016323,16-Jul-21,6.282829
137.1760254,-4.084016323,28-Jul-21,2.924257
137.1760254,-4.084016323,21-Aug-21,-4.946548
137.1760254,-4.084016323,2-Sep-21,0.1839864
137.1760254,-4.084016323,14-Sep-21,-0.6071423
137.1760254,-4.084016323,8-Oct-21,2.927738
137.1760254,-4.084016323,20-Oct-21,3.209265
137.1760254,-4.084016323,1-Nov-21,-3.119668
137.1760254,-4.084016323,13-Nov-21,9.919282
137.1760254,-4.084016323,25-Nov-21,-1.318587
137.1760254,-4.084016323,7-Dec-21,-0.3539572
137.1760254,-4.084016323,19-Dec-21,0.4238327
137.1760254,-4.084016323,31-Dec-21,-20.2728
137.1760254,-4.084016323,12-Jan-22,1.592209
137.1760254,-4.084016323,24-Jan-22,-1.829284
137.1760254,-4.084016323,5-Feb-22,-5.532306
137.1760254,-4.084016323,17-Feb-22,-4.789761
137.1760254,-4.084016323,1-Mar-22,-1.080989
137.1760254,-4.084016323,13-Mar-22,5.111005
137.1760254,-4.084016323,25-Mar-22,0.4474943
137.1760254,-4.084016323,16-Apr-22,-4.596393
137.1760254,-4.084016323,18-Apr-22,4.231988
137.1760254,-4.084016323,30-Apr-22,-2.596168
137.1760254,-4.084016323,24-May-22,-4.377083
137.1760254,-4.084016323,17-Jun-22,-0.4171841
137.1760254,-4.084016323,29-Jun-22,0.6333111
137.1760254,-4.084016323,11-Jul-22,2.454726
137.1760254,-4.084016323,23-Jul-22,2.191813
137.1760254,-4.084016323,4-Aug-22,-1.978556
137.1760254,-4.084016323,16-Aug-22,8.187942
137.1760254,-4.084016323,28-Aug-22,-1.13686
137.1760254,-4.084016323,9-Sep-22,-1.49116
137.1760254,-4.084016323,3-Oct-22,-0.6279177
137.1760254,-4.084016323,15-Oct-22,-4.968553
137.1760254,-4.084016323,27-Oct-22,2.426611
137.1760254,-4.084016323,8-Nov-22,-2.494866
137.1760254,-4.084016323,20-Nov-22,-3.416964
137.1760254,-4.084016323,2-Dec-22,-5.025413
137.1760254,-4.084016323,14-Dec-22,-0.3925593
137.1760254,-4.084016323,26-Dec-22,3.112496
137.1760254,-4.084016323,04-Jul-20212,-3.796015
137.1760254,-4.083256721,11-Jan-20,4.69769
137.1760254,-4.083256721,23-Jan-20,1.087728
137.1760254,-4.083256721,4-Feb-20,-4.803512
137.1760254,-4.083256721,16-Feb-20,-0.2593805
137.1760254,-4.083256721,28-Feb-20,-1.859954
137.1760254,-4.083256721,11-Mar-20,3.120748
137.1760254,-4.083256721,23-Mar-20,-2.135893
137.1760254,-4.083256721,4-Apr-20,-5.582544
137.1760254,-4.083256721,16-Apr-20,4.882061
137.1760254,-4.083256721,28-Apr-20,2.944685
137.1760254,-4.083256721,10-May-20,1.622076
137.1760254,-4.083256721,22-May-20,8.12392
137.1760254,-4.083256721,3-Jun-20,-0.9362555
137.1760254,-4.083256721,15-Jun-20,10.03722
137.1760254,-4.083256721,27-Jun-20,3.044842
137.1760254,-4.083256721,9-Jul-20,1.020492
137.1760254,-4.083256721,21-Jul-20,-1.318259
137.1760254,-4.083256721,2-Aug-20,4.231959
137.1760254,-4.083256721,14-Aug-20,-0.347376
137.1760254,-4.083256721,26-Aug-20,7.884662
137.1760254,-4.083256721,7-Sep-20,-1.936966
137.1760254,-4.083256721,19-Sep-20,6.763489
137.1760254,-4.083256721,1-Oct-20,4.625984
137.1760254,-4.083256721,13-Oct-20,6.443239
137.1760254,-4.083256721,25-Oct-20,-0.9798578
137.1760254,-4.083256721,6-Nov-20,-6.28194
137.1760254,-4.083256721,18-Nov-20,1.611583
137.1760254,-4.083256721,30-Nov-20,-2.517907
137.1760254,-4.083256721,12-Dec-20,-5.891547
137.1760254,-4.083256721,24-Dec-20,1.588891
137.1760254,-4.083256721,5-Jan-21,1.895649
137.1760254,-4.083256721,17-Jan-21,1.757276
137.1760254,-4.083256721,29-Jan-21,5.742446
137.1760254,-4.083256721,10-Feb-21,-3.341726
137.1760254,-4.083256721,22-Feb-21,10.38872
137.1760254,-4.083256721,6-Mar-21,3.521926
137.1760254,-4.083256721,18-Mar-21,2.625679
137.1760254,-4.083256721,30-Mar-21,-1.535942
137.1760254,-4.083256721,11-Apr-21,0.5989406
137.1760254,-4.083256721,23-Apr-21,-1.861076
137.1760254,-4.083256721,17-May-21,10.53294
137.1760254,-4.083256721,29-May-21,-0.7821034
137.1760254,-4.083256721,10-Jun-21,4.338558
137.1760254,-4.083256721,22-Jun-21,0
137.1760254,-4.083256721,16-Jul-21,6.82195
137.1760254,-4.083256721,28-Jul-21,0.4593205
137.1760254,-4.083256721,21-Aug-21,-8.57631
137.1760254,-4.083256721,2-Sep-21,3.984079
137.1760254,-4.083256721,14-Sep-21,-4.222684
137.1760254,-4.083256721,8-Oct-21,-6.243006
137.1760254,-4.083256721,20-Oct-21,1.951586
137.1760254,-4.083256721,1-Nov-21,2.893968
137.1760254,-4.083256721,13-Nov-21,3.406173
137.1760254,-4.083256721,25-Nov-21,0.7349787
137.1760254,-4.083256721,7-Dec-21,-1.316145
137.1760254,-4.083256721,19-Dec-21,9.015079
137.1760254,-4.083256721,31-Dec-21,7.33311
137.1760254,-4.083256721,12-Jan-22,3.22956
137.1760254,-4.083256721,24-Jan-22,-1.094005
137.1760254,-4.083256721,5-Feb-22,4.440359
137.1760254,-4.083256721,17-Feb-22,0.7847446
137.1760254,-4.083256721,1-Mar-22,12.98887
137.1760254,-4.083256721,13-Mar-22,0.5141605
137.1760254,-4.083256721,25-Mar-22,2.398787
137.1760254,-4.083256721,16-Apr-22,1.717397
137.1760254,-4.083256721,18-Apr-22,6.286682
137.1760254,-4.083256721,30-Apr-22,-1.249127
137.1760254,-4.083256721,24-May-22,-5.011093
137.1760254,-4.083256721,17-Jun-22,3.550053
137.1760254,-4.083256721,29-Jun-22,-2.01015
137.1760254,-4.083256721,11-Jul-22,-4.234301
137.1760254,-4.083256721,23-Jul-22,0.6104114
137.1760254,-4.083256721,4-Aug-22,1.71157
137.1760254,-4.083256721,16-Aug-22,1.761323
137.1760254,-4.083256721,28-Aug-22,0.5627011
137.1760254,-4.083256721,9-Sep-22,-2.098436
137.1760254,-4.083256721,3-Oct-22,12.16864
137.1760254,-4.083256721,15-Oct-22,7.482737
137.1760254,-4.083256721,27-Oct-22,0.336139
137.1760254,-4.083256721,8-Nov-22,-1.424966
137.1760254,-4.083256721,20-Nov-22,3.865716
137.1760254,-4.083256721,2-Dec-22,-0.1396381
137.1760254,-4.083256721,14-Dec-22,7.471572
137.1760254,-4.083256721,26-Dec-22,-0.2007573
137.1760254,-4.083256721,04-Jul-20212,1.910753
137.1760254,-4.081443787,11-Jan-20,-0.5136508
137.1760254,-4.081443787,23-Jan-20,1.952658
137.1760254,-4.081443787,4-Feb-20,-4.171366
137.1760254,-4.081443787,16-Feb-20,1.543408
137.1760254,-4.081443787,28-Feb-20,7.44967
137.1760254,-4.081443787,11-Mar-20,-5.70088
137.1760254,-4.081443787,23-Mar-20,5.56111
137.1760254,-4.081443787,4-Apr-20,-1.37728
137.1760254,-4.081443787,16-Apr-20,-1.509421
137.1760254,-4.081443787,28-Apr-20,6.311664
137.1760254,-4.081443787,10-May-20,-2.828831
137.1760254,-4.081443787,22-May-20,5.895514
137.1760254,-4.081443787,3-Jun-20,-3.978098
137.1760254,-4.081443787,15-Jun-20,0.5316675
137.1760254,-4.081443787,27-Jun-20,3.400466
137.1760254,-4.081443787,9-Jul-20,-1.455574
137.1760254,-4.081443787,21-Jul-20,5.504957
137.1760254,-4.081443787,2-Aug-20,-0.7641876
137.1760254,-4.081443787,14-Aug-20,0.5200533
137.1760254,-4.081443787,26-Aug-20,6.34035
137.1760254,-4.081443787,7-Sep-20,-0.498025
137.1760254,-4.081443787,19-Sep-20,-0.1363883
137.1760254,-4.081443787,1-Oct-20,2.350175
137.1760254,-4.081443787,13-Oct-20,-4.026547
137.1760254,-4.081443787,25-Oct-20,2.802997
137.1760254,-4.081443787,6-Nov-20,2.413463
137.1760254,-4.081443787,18-Nov-20,-6.04296
137.1760254,-4.081443787,30-Nov-20,3.419538
137.1760254,-4.081443787,12-Dec-20,1.796725
137.1760254,-4.081443787,24-Dec-20,-3.289376
137.1760254,-4.081443787,5-Jan-21,3.635568
137.1760254,-4.081443787,17-Jan-21,-2.335965
137.1760254,-4.081443787,29-Jan-21,8.086196
137.1760254,-4.081443787,10-Feb-21,-3.628147
137.1760254,-4.081443787,22-Feb-21,-1.163123
137.1760254,-4.081443787,6-Mar-21,4.077752
137.1760254,-4.081443787,18-Mar-21,-0.627326
137.1760254,-4.081443787,30-Mar-21,5.801217
137.1760254,-4.081443787,11-Apr-21,-3.309749
137.1760254,-4.081443787,23-Apr-21,-1.34728
137.1760254,-4.081443787,17-May-21,5.746959
137.1760254,-4.081443787,29-May-21,-0.11772
137.1760254,-4.081443787,10-Jun-21,3.019631
137.1760254,-4.081443787,22-Jun-21,0
137.1760254,-4.081443787,16-Jul-21,-3.503408
137.1760254,-4.081443787,28-Jul-21,-11.0455
137.1760254,-4.081443787,21-Aug-21,3.360449
137.1760254,-4.081443787,2-Sep-21,-6.163486
137.1760254,-4.081443787,14-Sep-21,3.541822
137.1760254,-4.081443787,8-Oct-21,1.579901
137.1760254,-4.081443787,20-Oct-21,-3.611939
137.1760254,-4.081443787,1-Nov-21,5.258807
137.1760254,-4.081443787,13-Nov-21,-2.939504
137.1760254,-4.081443787,25-Nov-21,6.863352
137.1760254,-4.081443787,7-Dec-21,-2.120777
137.1760254,-4.081443787,19-Dec-21,0.4897263
137.1760254,-4.081443787,31-Dec-21,2.790762
137.1760254,-4.081443787,12-Jan-22,-0.4876867
137.1760254,-4.081443787,24-Jan-22,7.35709
137.1760254,-4.081443787,5-Feb-22,-2.071975
137.1760254,-4.081443787,17-Feb-22,0.3409826
137.1760254,-4.081443787,1-Mar-22,5.164659
137.1760254,-4.081443787,13-Mar-22,-1.050425
137.1760254,-4.081443787,25-Mar-22,1.097411
137.1760254,-4.081443787,16-Apr-22,0.07381956
137.1760254,-4.081443787,18-Apr-22,-2.688996
137.1760254,-4.081443787,30-Apr-22,2.912456
137.1760254,-4.081443787,24-May-22,1.331309
137.1760254,-4.081443787,17-Jun-22,-4.215965
137.1760254,-4.081443787,29-Jun-22,0.5105743
137.1760254,-4.081443787,11-Jul-22,0.4138112
137.1760254,-4.081443787,23-Jul-22,-1.836219
137.1760254,-4.081443787,4-Aug-22,2.401335
137.1760254,-4.081443787,16-Aug-22,-3.25816
137.1760254,-4.081443787,28-Aug-22,6.636832
137.1760254,-4.081443787,9-Sep-22,-3.124843
137.1760254,-4.081443787,3-Oct-22,-2.496635
137.1760254,-4.081443787,15-Oct-22,1.920732
137.1760254,-4.081443787,27-Oct-22,1.018592
137.1760254,-4.081443787,8-Nov-22,0.2379948
137.1760254,-4.081443787,20-Nov-22,-0.5745012
137.1760254,-4.081443787,2-Dec-22,0.3190584
137.1760254,-4.081443787,14-Dec-22,4.156467
137.1760254,-4.081443787,26-Dec-22,-1.313378
