Longitude,Latitude,1/11/2020,1/23/2020,2/4/2020,2/16/2020,2/28/2020,3/11/2020,3/23/2020,4/4/2020,4/16/2020,4/28/2020,5/10/2020,5/22/2020,6/3/2020,6/15/2020,6/27/2020,7/9/2020,7/21/2020,8/2/2020,8/14/2020,8/26/2020,9/7/2020,9/19/2020,10/1/2020,10/13/2020,10/25/2020,11/6/2020,11/18/2020,11/30/2020,12/12/2020,12/24/2020,1/5/2021,1/17/2021,1/29/2021,2/10/2021,2/22/2021,3/6/2021,3/18/2021,3/30/2021,4/11/2021,4/23/2021,5/17/2021,5/29/2021,6/10/2021,6/22/2021,7/4/20212,7/16/2021,7/28/2021,8/21/2021,9/2/2021,9/14/2021,10/8/2021,10/20/2021,11/1/2021,11/13/2021,11/25/2021,12/7/2021,12/19/2021,12/31/2021,1/12/2022,1/24/2022,2/5/2022,2/17/2022,3/1/2022,3/13/2022,3/25/2022,4/16/2022,4/18/2022,4/30/2022,5/24/2022,6/17/2022,6/29/2022,7/11/2022,7/23/2022,8/4/2022,8/16/2022,8/28/2022,9/9/2022,10/3/2022,10/15/2022,10/27/2022,11/8/2022,11/20/2022,12/2/2022,12/14/2022,12/26/2022
137.1815186,-4.090692997,-8.180057,4.27584,-4.224301,4.40047,1.839569,-0.4419049,2.7365,-1.222786,2.249071,0.7243538,-0.8455229,3.997527,0.0827269,-5.024208,2.870861,-1.180951,6.40951,-2.498284,1.22274,2.41537,3.469919,-7.19081,4.203164,-5.012001,1.5272,4.464014,-0.7653154,1.250653,0.546636,-1.105876,1.628536,-0.00751939,5.267043,0.7480488,4.288231,3.405718,-0.3457806,-5.080847,-2.058929,3.868064,1.002187,4.971667,-9.241662,0,4.267667,-5.134801,4.160443,5.610523,0.7189733,2.62454,-1.182336,2.439036,0.9867431,-1.871668,3.204326,-0.3080117,5.220722,3.260556,-0.2588903,-0.8636715,-2.202081,0.5094653,2.530353,4.003489,-6.16072,3.704103,-4.08494,2.807875,5.832693,-0.4777911,2.739153,-0.6965804,0.2126227,0.2282074,-3.081844,2.352488,-0.6329799,1.10243,2.315951,-1.172626,2.741848,-0.2983468,-0.97497,4.326234,3.82864
137.1825256,-4.090683937,1.460536,-2.177897,-2.982981,4.348227,0.1591672,-0.1486277,1.947571,-3.850256,3.174074,3.088224,-5.691729,6.608302,0.6715869,-5.648272,2.504482,-2.883784,7.348631,-4.084987,-2.383068,4.054465,0.8741457,5.282578,-2.444438,0.5686283,1.670922,-0.2937087,0.3337707,0.8830678,-5.31111,3.092964,3.477319,-5.815492,4.138423,0.8044872,-3.459432,2.957796,-1.698689,7.056155,-3.709865,0.2196606,1.138233,-1.089031,2.900442,0,-1.775375,0.2744417,6.402365,-0.1067607,1.962114,2.277011,-3.247664,4.845259,4.211715,-5.145565,2.412138,-0.07261451,-4.078822,2.615235,-2.657689,7.447513,-4.409866,-1.657522,2.908493,0.6652383,0.1135563,-2.422017,-0.6231332,5.002215,-0.5024531,2.386764,1.384328,-2.711709,2.961349,0.5505868,-5.924245,2.253839,0.8490222,-4.771629,3.453485,-3.020641,7.616426,-1.60627,-0.3905552,3.377486,0.9522811
137.1788788,-4.090645313,-2.207995,1.04303,-12.50867,0.9060436,-3.127956,-2.490827,-2.826687,-0.3390141,7.279813,0.6208181,-4.186125,4.922791,-2.668615,-7.44577,1.488716,-0.5868297,3.359228,2.863596,-0.2936869,6.372657,-1.953553,0.5381426,-0.3945741,-13.77992,1.145102,-2.630513,-2.003736,-5.989047,-2.155008,5.838628,2.044214,-4.01588,4.032829,-1.771174,-3.485245,0.1594382,-0.4842936,4.222821,2.477745,-4.93399,8.182679,-0.8041067,-2.081063,0,0.4806875,-12.87235,5.361337,-2.383483,-4.577846,-3.318331,-0.8346592,7.502155,0.728299,-3.664508,2.496722,-1.382145,-3.275014,1.241216,2.279553,4.020527,3.105124,-3.462329,9.154431,-0.4236088,-0.9301983,-0.3481612,-17.82344,3.147606,-1.675059,-4.357905,-3.353311,-0.5264079,3.772024,0.1989838,-4.300414,2.622425,0.5708818,-4.433483,0.7611764,1.049511,2.62323,3.169351,-0.6293674,9.217125,-1.506608
137.1797791,-4.090634346,0.3379421,-1.564816,1.813156,0.3400794,9.70796,-3.069058,5.486806,0.8699989,6.218763,-0.9090737,-3.665795,5.85332,-3.095492,-11.78352,3.100424,1.421923,1.560765,3.691154,0.510305,9.742436,6.460196,0.7356941,-0.9491739,0.5086062,-0.7794687,8.736566,-0.7729021,5.389928,3.623156,6.209498,0.09051087,-5.683435,3.204916,-4.024622,-5.469962,1.677387,2.553781,2.542745,4.272314,2.524499,8.500201,3.613899,2.710996,0,-0.5962647,1.502231,1.085956,9.199993,0.1531554,2.533975,3.164902,7.641548,0.507418,-7.964436,0.9581521,-3.080429,-4.999353,3.792431,2.335055,1.692904,1.401587,-2.429027,10.22109,2.376551,2.614418,-2.511101,5.045831,2.485003,7.448715,-0.5452322,1.557986,1.938691,5.398465,0.1611597,-4.661364,1.718687,-1.794037,-6.506489,1.384951,1.729029,2.139366,1.085163,-1.623504,6.492779,3.376269
137.180603,-4.090624809,0.03188621,5.659738,-0.1306377,6.639815,-4.415231,-0.457031,3.276938,1.246288,-9.544888,2.39824,-3.349506,4.142709,3.694023,-7.896042,1.508509,-0.6009879,0.5097738,-0.2496688,-2.059694,4.831892,0.1502199,3.798057,3.387226,-0.7671733,-2.902959,-3.018835,1.958534,0.8269327,1.751237,-6.924841,4.589753,-3.582298,2.662743,5.212954,0.1512679,1.676484,-1.426912,-2.824591,2.186053,-1.91106,5.145715,0.2039935,0.4155178,0,3.143063,-0.7305526,4.110021,-2.232963,1.522665,3.801051,3.521703,-9.017195,4.721878,-4.054507,0.148616,5.15397,0.6852679,3.104407,0.5622933,-3.371894,0.6560349,-1.442439,3.566313,0.2342902,4.44501,2.97032,-0.8261768,0.8385429,-1.67759,2.320728,-0.3249502,4.97019,-4.129336,3.665219,-5.195025,0.9402937,4.212544,-0.3657132,0.710524,-0.5543026,-0.4843536,0.5258431,-1.050225,1.394011,-1.006396
137.1852417,-4.090540409,-2.181766,6.024769,-2.039146,6.688989,-4.497375,-2.187545,3.741161,0.5934909,1.272403,-2.847397,-2.331396,4.941821,-0.2205925,-5.534381,1.858176,-5.522264,3.360685,6.0564,-6.154076,4.096133,0.174363,-3.462213,2.754674,-2.07361,5.495355,-4.204812,-1.785425,1.58769,-0.9850494,4.761115,-1.969047,-3.224885,2.948542,-1.021066,1.345043,1.838604,-2.997233,3.644268,4.33403,-5.882805,3.159322,1.043173,-3.962721,0,2.287332,-1.692152,11.21552,-3.076142,0.01446513,1.41456,-0.3970419,4.67341,-0.3182158,0.0963928,3.683135,-0.5257909,2.570824,2.172314,-2.734675,2.778483,-0.6206883,-4.931499,3.161797,-0.3026145,-3.855421,5.883914,-1.65243,7.536414,-3.03394,-2.06833,1.73406,1.734698,1.264089,-1.083042,0.5054848,3.83937,-2.401859,2.658522,1.108678,-3.224913,1.277834,1.557477,-3.744299,2.628762,0.2655868
137.1895599,-4.090529442,-2.315925,2.97878,-1.708565,2.771195,-0.6783743,3.386824,7.833014,-1.085113,-3.667677,0.9154723,-12.41798,2.405062,-3.920704,-8.386075,-4.086109,-2.700957,6.830393,3.513002,-5.485406,4.410658,-1.548942,-3.652375,-0.005477212,-1.80486,2.317924,2.710943,-1.261825,8.125674,-2.70176,0.6329075,0.5636291,-13.78916,1.637661,-0.4109369,-4.484801,-6.111007,0.5347804,5.952241,2.814194,-2.871324,4.869074,-2.83604,-3.716969,0,-0.2992861,-0.1870693,6.458442,2.060284,-3.140322,6.64053,-0.5444198,-1.932735,0.9015303,-17.66157,2.141296,-1.385094,-3.865125,-4.39203,-0.3338198,4.829679,3.049335,-3.13347,3.585528,-2.529697,-3.059181,0.2916648,1.781611,4.448319,3.074608,-1.753826,6.90515,-0.615698,-0.8762588,0.152714,-13.14553,1.538229,-1.733357,-4.154078,-5.999609,-0.5260713,3.454308,0.3214692,-2.244252,2.39632,-1.687629
137.1877594,-4.090476513,-4.662135,9.711574,2.777899,1.139197,-2.139293,-0.4879212,9.785392,-0.2154369,-1.480011,-1.625607,3.896504,0.6804584,9.096108,-6.622118,2.604654,4.167292,6.640717,-0.021868,-4.244162,0.07639805,-2.990222,-5.664417,2.378499,2.443309,1.447916,5.759192,-1.710022,8.867405,6.016262,2.278979,-1.03238,2.147322,-0.5003247,9.617341,-1.311562,6.296768,3.736302,5.997533,0.03302349,-12.03302,3.585147,-3.411659,-6.377732,0,1.690435,1.937824,1.480318,3.05013,-1.122161,17.17439,2.124548,1.805979,-0.3134285,4.279021,-0.8940459,13.01752,0.17764,2.94123,1.387419,5.788704,-1.566264,-7.613497,2.023973,-2.8564,-5.475297,1.316737,0.6978869,1.793602,-1.485925,-3.249796,8.384752,3.981963,4.087451,-1.409258,2.884243,-0.00575013,9.830702,-0.221446,-1.085628,0.9123864,5.101453,1.153557,-6.426476,-0.1242591,-4.240986
137.1859894,-4.090447426,-1.547662,2.770459,-0.5453184,1.64314,1.267097,-3.466888,4.801472,1.835907,-1.777115,4.305215,0.2869095,9.920924,-3.656838,-5.012472,2.285173,1.832458,-9.137379,5.525098,-5.077686,2.083295,5.675445,0.4927185,1.157641,-1.251397,2.493336,0.9710236,-1.949944,5.375257,-0.321672,4.941129,3.334756,-1.312306,-6.384748,-1.764756,2.068265,1.391662,3.969155,-7.051762,4.36024,-3.260509,2.764567,5.093766,-0.6805506,0,1.267578,-1.797642,5.461381,1.127544,-1.006168,8.421631,0.4195954,0.9101329,2.928097,-0.85489,-3.112961,-1.380373,1.005614,0.5353114,3.058854,-8.783845,2.733636,-4.474439,1.487377,4.781638,0.307407,0.6187981,-2.200153,-1.321661,-0.4377632,-2.266373,2.185908,0.06977157,4.469163,0.8077955,-1.992675,4.152849,-1.439748,1.971852,1.641369,2.12855,-6.237916,4.19672,-3.362002,0.09962786,5.461118
137.1843567,-4.090444088,-0.2777483,2.920034,-5.147116,2.954031,3.17764,-5.932967,6.58463,-0.4801572,-2.022682,10.52,-1.854883,8.001972,-4.881891,-7.306914,1.945498,-1.644338,3.112122,-0.2109304,-0.4549907,-0.30255,-0.9360868,1.433583,0.5037152,-3.763681,2.402552,2.92635,-5.976349,5.535522,-1.247212,-3.38004,3.354504,-2.477173,6.813845,-3.409976,0.1700442,2.408067,0.8229312,4.896482,-1.959808,0.05324819,4.940307,0.07042337,0.0515935,0,1.601935,-2.712823,2.279814,3.392662,-5.007586,4.349724,1.691551,-4.518185,2.87526,-2.393686,7.305776,-3.782182,-1.338751,2.887182,0.8439232,0.3896769,-2.712819,-2.24762,4.053782,-0.3946685,1.866648,-0.2008421,-3.728442,4.39878,0.730212,-6.696028,1.128159,1.133186,-1.000371,2.275281,-2.134324,6.425563,-2.803023,-2.543295,3.957552,0.7083198,4.734094,-0.3688061,-0.4089038,2.685761,-0.5022746
